@relation EvolutionChain

merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
forming,growing,shrinking,shrinking,growing,shrinking,shrinking
growing,shrinking,shrinking,growing,shrinking,shrinking,continuing
shrinking,shrinking,growing,shrinking,shrinking,continuing,growing
forming,growing,continuing,continuing,continuing,continuing,shrinking
growing,continuing,continuing,continuing,continuing,shrinking,dissolving
forming,merging,splitting,merging,merging,splitting,dissolving
forming,merging,splitting,continuing,merging,splitting,dissolving
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
continuing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
continuing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
continuing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
forming,growing,continuing,merging,splitting,growing,merging
growing,continuing,merging,splitting,growing,merging,splitting
continuing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
forming,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
forming,growing,merging,splitting,merging,merging,splitting
forming,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
forming,growing,merging,splitting,continuing,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
shrinking,shrinking,continuing,growing,merging,merging,splitting
shrinking,continuing,growing,merging,merging,splitting,shrinking
continuing,growing,merging,merging,splitting,shrinking,continuing
growing,merging,merging,splitting,shrinking,continuing,growing
merging,merging,splitting,shrinking,continuing,growing,splitting
merging,splitting,shrinking,continuing,growing,splitting,growing
splitting,shrinking,continuing,growing,splitting,growing,shrinking
splitting,continuing,growing,shrinking,growing,growing,shrinking
continuing,growing,shrinking,growing,growing,shrinking,dissolving
merging,splitting,growing,merging,splitting,merging,shrinking
splitting,growing,merging,splitting,merging,shrinking,continuing
growing,merging,splitting,merging,shrinking,continuing,continuing
merging,splitting,merging,shrinking,continuing,continuing,dissolving
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,shrinking
splitting,growing,merging,splitting,merging,shrinking,continuing
growing,merging,splitting,merging,shrinking,continuing,continuing
merging,splitting,merging,shrinking,continuing,continuing,dissolving
splitting,growing,merging,shrinking,merging,splitting,dissolving
splitting,growing,merging,shrinking,merging,splitting,dissolving
splitting,growing,merging,shrinking,merging,splitting,dissolving
splitting,growing,merging,shrinking,merging,splitting,dissolving
splitting,growing,merging,shrinking,merging,splitting,dissolving
shrinking,growing,merging,splitting,shrinking,continuing,growing
growing,merging,splitting,shrinking,continuing,growing,splitting
merging,splitting,shrinking,continuing,growing,splitting,growing
splitting,shrinking,continuing,growing,splitting,growing,shrinking
shrinking,growing,shrinking,growing,merging,splitting,growing
growing,shrinking,growing,merging,splitting,growing,merging
shrinking,growing,merging,splitting,growing,merging,splitting
growing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,shrinking
splitting,growing,merging,splitting,merging,shrinking,continuing
growing,merging,splitting,merging,shrinking,continuing,continuing
